chr1	11625762	11631125	8_00433011_AD1	500	+	11625762	11631125	255,0,0	2	894,6	0,5357
chr1	11637212	11641516	8_00433013_AD1	500	+	11637212	11641516	255,0,0	4	13,294,97,136	0,1238,3699,4168
chr1	11637514	11644939	8_00433014_AD1	500	+	11637514	11644939	255,0,0	6	83,287,126,95,135,1165	0,943,3397,3663,3866,6260
chr1	11637558	11644939	8_00433015_AD1_CT2	500	+	11637558	11644939	0,0,255	5	38,294,97,135,1165	0,892,3353,3822,6216
chr1	11630772	11631467	8_00458540_AD2_AD3_AD4_AD5_AD6_AD7_AD8_AD9_AD10_CT1_CT2_CT3_CT4_CT5_CT7_CT8_CT9_D1_D2_D3_D5_D7_D8_D9_D10	500	+	11630772	11631467	0,0,0	1	695	0
chr1	11637508	11641437	8_00458541_AD2	500	+	11637508	11641437	255,0,0	5	88,294,126,139,13	0,942,3403,3669,3916
chr1	11637486	11638717	8_00492706_AD4	500	+	11637486	11638717	255,0,0	2	110,267	0,964
chr1	11640911	11645412	8_00492707_AD4	500	+	11640911	11645412	255,0,0	3	97,135,1638	0,469,2863
chr1	11636980	11637389	8_00509135_AD5	500	+	11636980	11637389	255,0,0	1	409	0
chr1	11638489	11641508	8_00542825_AD6	500	+	11638489	11641508	255,0,0	4	255,130,91,128	0,2422,2692,2891
chr1	11638489	11644905	8_00542826_AD6	500	+	11638489	11644905	255,0,0	5	255,97,135,178,691	0,2422,2891,5285,5725
chr1	11627835	11628617	8_00547432_AD7	500	+	11627835	11628617	255,0,0	1	782	0
chr1	11497166	11502132	8_00555662_AD8	500	+	11497166	11502132	255,0,0	5	4,139,155,139,133	0,847,1484,2941,4833
chr1	11638212	11645807	8_00555664_AD8	500	+	11638212	11645807	255,0,0	5	131,294,97,140,2028	0,238,2699,3168,5567
chr1	11638212	11645807	8_00555665_AD8	500	+	11638212	11645807	255,0,0	5	131,299,97,130,2033	0,238,2704,3173,5562
chr1	11484329	11502127	8_00570805_AD9	500	+	11484329	11502127	255,0,0	7	403,219,164,111,159,135,128	0,993,12705,13712,14321,15782,17670
chr1	11503418	11512315	8_00570806_AD9	500	+	11503418	11512315	255,0,0	5	74,113,136,123,115	0,3168,4402,5938,8782
chr1	11637493	11641584	8_00581084_AD10	500	+	11637493	11641584	255,0,0	4	103,294,97,204	0,957,3418,3887
chr1	11638007	11644646	8_00586599_CT1	500	+	11638007	11644646	0,255,0	6	336,294,126,95,135,872	0,443,2904,3170,3373,5767
chr1	11638007	11644646	8_00586600_CT1	500	+	11638007	11644646	0,255,0	5	336,294,97,135,872	0,443,2904,3373,5767
chr1	11461860	11484357	8_00603282_CT2	500	+	11461860	11484357	0,255,0	2	161,718	0,21779
chr1	11625785	11627417	8_00603287_CT2	500	+	11625785	11627417	0,255,0	1	1632	0
chr1	11645163	11645952	8_00603290_CT2	500	+	11645163	11645952	0,255,0	2	532,163	0,626
chr1	11637203	11644932	8_00627885_CT4	500	+	11637203	11644932	0,255,0	5	22,294,97,135,1158	0,1247,3708,4177,6571
chr1	11461799	11487121	8_00637202_CT5	500	+	11461799	11487121	0,255,0	3	217,1098,1799	0,21835,23523
chr1	11461799	11500547	8_00637203_CT5	500	+	11461799	11500547	0,255,0	7	217,1098,224,136,134,164,436	0,21835,23523,35235,36214,36846,38312
chr1	11519094	11520375	8_00637212_CT5	500	+	11519094	11520375	0,255,0	1	1281	0
chr1	11624534	11625631	8_00637214_CT5	500	+	11624534	11625631	0,255,0	1	1097	0
chr1	11637509	11645787	8_00637215_CT5	500	+	11637509	11645787	0,255,0	6	87,294,97,137,1548,327	0,941,3402,3871,6267,7951
chr1	11637509	11645787	8_00637216_CT5	500	+	11637509	11645787	0,255,0	5	88,293,97,139,2009	0,942,3402,3871,6269
chr1	11707174	11708244	8_00637220_CT5	500	+	11707174	11708244	0,255,0	1	1070	0
chr1	11637203	11642035	8_00653908_CT6	500	+	11637203	11642035	0,255,0	5	22,294,97,135,145	0,1247,3708,4177,4687
chr1	11637558	11642035	8_00653909_CT6	500	+	11637558	11642035	0,255,0	6	38,294,126,95,135,145	0,892,3353,3619,3822,4332
chr1	11637579	11642035	8_00653910_CT6	500	+	11637579	11642035	0,255,0	5	17,288,97,135,145	0,877,3332,3801,4311
chr1	11637503	11644932	8_00656954_CT7	500	+	11637503	11644932	0,255,0	6	93,294,126,95,135,1158	0,947,3408,3674,3877,6271
chr1	11645171	11645887	8_00656955_CT7	500	+	11645171	11645887	0,255,0	2	401,98	0,618
chr1	11637489	11644926	8_00676967_CT9	500	+	11637489	11644926	0,255,0	6	108,311,108,95,135,1152	0,962,3440,3688,3891,6285
chr1	11638322	11644926	8_00676968_CT9	500	+	11638322	11644926	0,255,0	5	23,310,79,135,1152	0,130,2607,3058,5452
chr1	11643790	11645958	8_00717651_D1	500	+	11643790	11645958	255,255,0	1	2168	0
chr1	11518124	11518256	8_00727911_D2	500	+	11518124	11518256	255,255,0	1	132	0
chr1	11637505	11645037	8_00727918_D2	500	+	11637505	11645037	255,255,0	6	91,160,126,95,135,1263	0,1079,3406,3672,3875,6269
chr1	11637505	11645037	8_00727919_D2	500	+	11637505	11645037	255,255,0	6	91,160,97,95,135,1263	0,1079,3406,3672,3875,6269
chr1	11638383	11645037	8_00727921_D2	500	+	11638383	11645037	255,255,0	5	361,126,95,135,1263	0,2528,2794,2997,5391
chr1	11638743	11645037	8_00727922_D2	500	+	11638743	11645037	255,255,0	4	1,98,135,1263	0,2167,2637,5031
chr1	11641663	11641948	8_00727923_D2	500	+	11641663	11641948	255,255,0	1	285	0
chr1	11626314	11627163	8_00763111_D3	500	+	11626314	11627163	255,255,0	2	759,36	0,813
chr1	11627933	11707885	8_00763112_D3	500	+	11627933	11707885	255,255,0	3	218,5,21	0,22567,79931
chr1	11627084	11627745	8_00779854_D4	500	+	11627084	11627745	255,255,0	1	661	0
chr1	11628428	11628761	8_00779855_D4	500	+	11628428	11628761	255,255,0	1	333	0
chr1	11637613	11644948	8_00807082_D5	500	+	11637613	11644948	255,255,0	6	18,259,126,95,135,1174	0,872,3298,3564,3767,6161
chr1	11637613	11645862	8_00807083_D5	500	+	11637613	11645862	255,255,0	7	18,259,131,90,135,192,388	0,872,3298,3569,3767,6161,7861
chr1	11513668	11641228	8_00819824_D6	500	+	11513668	11641228	255,255,0	3	9,126,51	0,127243,127509
chr1	11627584	11628311	8_00819826_D6	500	+	11627584	11628311	255,255,0	1	727	0
chr1	11637585	11641037	8_00849214_D7	500	+	11637585	11641037	255,255,0	3	16,289,126	0,870,3326
chr1	11637585	11644926	8_00849215_D7	500	+	11637585	11644926	255,255,0	5	16,289,97,135,1152	0,870,3326,3795,6189
chr1	11630839	11641929	8_00866124_D8	500	+	11630839	11641929	255,255,0	2	482,9	0,11081
chr1	11638616	11643924	8_00866125_D8	500	+	11638616	11643924	255,255,0	4	128,102,130,150	0,2295,2769,5158
chr1	11638507	11641399	8_00873554_D10	500	+	11638507	11641399	255,255,0	3	237,100,19	0,2404,2873
chr1	11641258	11644639	8_00873555_D10	500	+	11641258	11644639	255,255,0	3	17,132,865	0,125,2516
